Code commune,Libelle de la commune,Population totale,APL aux medecins generalistes,APL aux medecins generalistes de 65 ans et moins,APL aux medecins generalistes de 62 ans et moins,Population standardisee par la consommation de soins par tranche d age
35154,Livre sur Changeon,1718,"2,901","2,583","2,419","1658,295"
35155,Loheac,648,"2,712","2,562","2,277","641,829"
35156,Longaulnay,612,"2,501","2,422","2,034","586,279"
35157,Le Loroux,643,"1,706","1,42","0,654","631,376"
35159,Lourmais,326,"3,476","3,427","3,381","323,417"
35160,Loutehel,247,"4,11","4,11","3,853","253,623"
35161,Louvigne de Bais,1912,"3,571","3,437","2,896","1819,372"
35162,Louvigne du Desert,3340,"2,005","1,551","1,01","3656,629"
35163,Luitre Dompierre,1823,"2,472","2,355","2,051","1834,199"
35164,Marcille Raoul,743,"3,391","3,212","3,033","740,832"
35165,Marcille Robert,951,"3,272","3,19","2,865","1014,034"
35166,Marpire,1027,"3,201","3,08","2,692","949,163"
35167,Martigne Ferchaud,2583,"2,264","2,004","1,868","2762,053"
35168,Val d Anast,3954,"3,753","3,753","3,296","3966,733"
35169,Maxent,1470,"4,213","4,169","3,894","1458,906"
35170,Mece,607,"1,88","1,734","1,649","587,139"
35171,Medreac,1819,"3,508","3,194","2,941","1816,329"
35172,Meillac,1918,"3,985","3,937","3,84","1857,919"
35173,Melesse,6958,"3,902","3,755","3,606","6827,042"
35174,Melle,649,"2,129","1,852","1,458","664,545"
35175,Mernel,1012,"2,501","2,501","2,115","1007,584"
35176,Guipry Messac,7107,"2,802","2,424","2,213","7035,286"
35177,La Meziere,4971,"4,11","3,976","3,782","4629,956"
35178,Mezieres sur Couesnon,1799,"3,415","3,002","2,818","1676,262"
35179,Miniac Morvan,4148,"4,518","4,142","3,829","4032,285"
35180,Miniac sous Becherel,792,"2,892","2,706","2,329","757,285"
35181,Le Minihic sur Rance,1483,"4,485","4,103","3,624","1649,549"
35183,Mondevert,820,"2,189","1,89","1,627","763,893"
35184,Montauban de Bretagne,6086,"4,802","4,434","4,257","6052,406"
35185,Montautour,266,"1,507","1,456","1,192","249,234"
35186,Mont Dol,1085,"2,929","2,637","2,458","1122,51"
35187,Monterfil,1332,"2,894","2,795","2,664","1278,263"
35188,Montfort sur Meu,6726,"3,079","2,926","2,709","6781,278"
35189,Montgermont,3515,"7,26","6,887","6,629","3488,161"
35190,Monthault,250,"1,496","1,3","1,067","260,496"
35191,Les Portes du Coglais,2319,"3,191","2,882","2,437","2295,298"
35192,Montreuil des Landes,232,"2,068","2,012","1,818","227,039"
35193,Montreuil le Gast,1972,"4,042","3,906","3,708","1875,032"
35194,Montreuil sous Perouse,1006,"3,545","3,39","2,599","981,57"
35195,Montreuil sur Ille,2390,"2,871","2,687","2,48","2320,229"
35196,Mordelles,7338,"4,209","4,022","3,841","7377,957"
35197,Mouaze,1718,"4,045","3,712","3,538","1579,2"
35198,Moulins,713,"3,854","3,731","3,358","673,237"
35199,Mousse,343,"2,737","2,737","2,47","310,511"
35200,Moutiers,919,"2,843","2,78","2,462","859,241"
35201,Muel,885,"2,274","2,205","2,045","861,647"
35202,La Noe Blanche,1022,"3,321","2,822","2,506","973,27"
35203,La Nouaye,353,"3,068","2,832","2,626","319,427"
35204,Nouvoitou,3281,"3,272","3,122","2,99","3150,895"
35205,Noyal sous Bazouges,380,"3,27","3,135","3,018","392,632"
35206,Noyal Chatillon sur Seiche,7003,"3,761","3,628","3,407","6907,677"
35207,Noyal sur Vilaine,6133,"5,592","5,356","5,12","5995,74"
35208,Orgeres,5152,"4,315","4,122","3,856","4929,421"
35210,Pace,11860,"6,371","6,129","5,915","11380,808"
35211,Paimpont,1772,"1,82","1,82","1,66","1825,616"
35212,Pance,1191,"3,872","3,546","3,152","1154,494"
35214,Parce,649,"1,565","1,565","1,413","659,712"
35215,Parigne,1331,"2,357","1,98","1,521","1339,952"
35216,Parthenay de Bretagne,1780,"3,682","3,521","3,328","1604,08"
35217,Le Pertre,1380,"1,662","1,305","1,266","1430,941"
35218,Le Petit Fougeray,883,"2,857","2,759","2,43","788,151"
35219,Pipriac,3813,"2,417","2,291","1,864","3830,189"
35220,Pire Chance,3031,"3,255","3,132","2,838","2859,508"
35221,Plechatel,2780,"3,345","2,957","2,719","2709,995"
35222,Pleine Fougeres,1973,"3,115","2,678","2,523","2128,654"
35223,Plelan le Grand,4008,"3,356","3,356","3,312","4069,547"
35224,Plerguer,2796,"4,81","4,4","4,021","2752,292"
35225,Plesder,781,"3,708","3,585","3,318","757,685"
35226,Pleugueneuc,1927,"3,522","3,425","3,177","1886,301"
35227,Pleumeleuc,3474,"4,812","4,489","4,234","3234,346"
35228,Pleurtuit,6982,"5,52","5,139","4,425","7240,871"
35229,Poce les Bois,1319,"4,057","3,902","3,024","1235,699"
35230,Poilley,374,"2,767","2,46","1,95","389,142"
35231,Poligne,1195,"5,129","4,672","4,255","1100,302"
35232,Prince,391,"0,669","0,669","0,669","384,862"
35233,Quebriac,1578,"3,747","3,726","3,581","1519,764"
35234,Quedillac,1194,"5,283","4,803","4,719","1172,122"
35235,Rannee,1076,"2,807","2,807","2,54","1097,425"
35236,Redon,9287,"3,514","3,051","2,848","9630,041"
35237,Renac,1034,"3,388","3,336","2,981","1026,471"
35238,Rennes,220488,"4,888","4,526","4,138","204998,529"
35239,Retiers,4438,"3,037","2,996","2,714","4546,162"
35240,Le Rheu,8932,"4,535","4,357","4,212","8439,519"
35241,La Richardais,2403,"6,482","5,83","4,985","2535,468"
35242,Rimou,345,"2,446","2,192","2,026","362,181"
35243,Romagne,2458,"4,425","4,087","3,438","2358,267"
35244,Romazy,248,"2,897","2,613","2,447","254,271"
35245,Romille,4032,"3,166","3,022","2,759","3869,764"
35246,Roz Landrieux,1361,"5,369","4,852","4,473","1328,375"
35247,Roz sur Couesnon,998,"2,075","1,753","1,661","1073,506"
35248,Sains,459,"3,065","2,67","2,524","492,129"
35249,Sainte Anne sur Vilaine,1029,"1,699","1,485","1,414","1030,823"
35250,Saint Armel,2206,"4,227","4,105","3,825","2064,981"
35251,Saint Aubin d Aubigne,3916,"3,582","3,242","3,067","3769,075"
35252,Saint Aubin des Landes,923,"3,601","3,499","2,834","893,332"
35253,Saint Aubin du Cormier,4006,"3,486","3,003","2,819","3795,515"
35255,Saint Benoît des Ondes,975,"3,884","3,551","3,185","1000,778"
35256,Saint Briac sur Mer,2193,"4,265","3,939","3,229","2566,96"
35257,Maen Roch,4958,"4,174","3,718","3,177","5110,35"
35258,Saint Brieuc des Iffs,331,"4,342","4,293","4,006","315,794"
35259,Saint Broladre,1140,"2,293","1,971","1,879","1178,714"
35260,Saint Christophe des Bois,563,"2,382","2,275","1,969","552,179"
35261,Saint Christophe de Valains,235,"2,831","2,509","2,297","221,9"
35262,Sainte Colombe,356,"2,731","2,731","2,539","345,027"
35263,Saint Coulomb,2820,"4,411","4,089","3,645","2958,689"
35264,Saint Didier,2034,"4,303","4,165","3,67","1885,288"
35265,Saint Domineuc,2562,"4,373","4,351","4,122","2504,271"
35266,Saint Erblon,3311,"4,742","4,573","4,316","3205,941"
35268,Saint Ganton,429,"1,316","1,167","1,024","432,244"
35270,Saint Georges de Grehaigne,371,"2,754","2,407","2,261","389,962"
35271,Saint Georges de Reintembault,1487,"2,504","2,37","1,993","1620,154"
35272,Saint Germain du Pinel,951,"3,246","3,068","2,627","900,312"
35273,Saint Germain en Cogles,2062,"2,984","2,702","2,175","2047,709"
35274,Saint Germain sur Ille,962,"3,915","3,634","3,431","898,099"
35275,Saint Gilles,5178,"4,939","4,68","4,46","4998,591"
35276,Saint Gondran,571,"3,776","3,682","3,334","551,399"
35277,Saint Gonlay,377,"2,309","2,184","2,092","360,107"
35278,Saint Gregoire,9890,"7,459","7,086","6,828","9794,131"
35279,Saint Guinoux,1207,"5,279","4,741","4,262","1140,682"
35280,Saint Hilaire des Landes,1025,"3,254","2,98","2,541","1015,868"
35281,Saint Jacques de la Lande,13948,"6,947","6,613","6,258","12798,124"
35282,Rives du Couesnon,2886,"2,687","2,367","2,182","2804,566"
35283,Saint Jean sur Vilaine,1334,"3,183","3,097","2,622","1235,016"
35284,Saint Jouan des Guerets,2683,"6,482","5,856","5,151","2799,172"
35285,Saint Just,1055,"1,848","1,721","1,437","1076,524"
35286,Saint Leger des Pres,284,"3,219","3,04","2,861","279,188"
35287,Saint Lunaire,2460,"4,459","4,058","3,301","2686,648"
35288,Saint Malo,46803,"5,939","5,371","4,68","51050,536"
35289,Saint Malo de Phily,1076,"3,433","3,013","2,73","1011,001"
35290,Saint Malon sur Mel,578,"2,912","2,815","2,609","558,349"
35291,Saint Marcan,437,"2,135","1,812","1,72","464,556"
35292,Saint Marc le Blanc,1633,"2,947","2,638","2,339","1667,606"
35294,Sainte Marie,2265,"2,74","2,654","2,37","2342,759"
35295,Saint Maugan,538,"2,216","2,022","1,93","509,051"
35296,Saint Medard sur Ille,1322,"2,687","2,431","2,205","1253,714"
35297,Saint Meen le Grand,4599,"3,419","3,216","3,057","4946,109"
35299,Saint Meloir des Ondes,4327,"5,177","4,778","4,27","4304,013"
35300,Saint M Herve,1356,"2,405","2,228","1,701","1339,994"
35302,Saint Onen la Chapelle,1127,"2,788","2,644","2,644","1081,779"
35304,Saint Ouen des Alleux,1313,"2,478","2,196","2,039","1251,472"
35305,Saint Peran,418,"2,906","2,878","2,832","387,732"
35306,Saint Pere Marc en Poulet,2333,"6,307","5,757","5,077","2293,427"
35307,Saint Pern,1042,"3,207","2,893","2,553","1033,225"
35308,Mesnil Roc h,4336,"4,289","4,111","3,89","4281,963"
35309,Saint Remy du Plain,819,"3,108","2,9","2,721","785,8"
35310,Saint Sauveur des Landes,1531,"4,67","4,332","3,683","1511,516"
35311,Saint Seglin,584,"4,555","4,428","3,944","582,681"
35312,Saint Senoux,1829,"2,519","2,259","2,037","1748,139"
35314,Saint Suliac,943,"5,874","5,324","4,693","1021,987"
35315,Saint Sulpice la Forêt,1382,"4,031","3,603","3,429","1335,372"
35316,Saint Sulpice des Landes,827,"1,868","1,617","1,406","786,245"
35317,Saint Symphorien,589,"4,876","4,783","4,404","545,051"
35318,Saint Thual,947,"2,399","2,34","1,988","895,886"
35319,Saint Thurial,2114,"3,164","3,087","2,996","1998,184"
35320,Saint Uniac,540,"3,631","3,31","3,179","502,021"
35321,Saulnieres,794,"2,944","2,828","2,53","763,55"
35322,Le Sel de Bretagne,1109,"3,016","2,862","2,524","1067,561"
